epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8702,1.33566,4.1518,1.21063,0.50982,0.11285,0.10192,0.06852,1.27731,2.72667,1.11151,6.28119e-05,6.28119e-05,6.28119e-05
2,136.824,1.205,2.40579,1.1591,0.37278,0.30872,0.31846,0.21959,1.21463,1.60249,1.13592,0.000124566,0.000124566,0.000124566
3,196.477,1.14218,1.69498,1.14132,0.47754,0.4716,0.45663,0.31517,1.17876,1.24608,1.12019,0.000185073,0.000185073,0.000185073
4,254.129,1.10842,1.43052,1.12897,0.63515,0.46785,0.54341,0.37234,1.16697,1.14578,1.10986,0.000183387,0.000183387,0.000183387
5,312.218,1.07973,1.27315,1.11047,0.66764,0.54642,0.62319,0.42327,1.16316,1.06635,1.10155,0.000181516,0.000181516,0.000181516
6,370.705,1.06892,1.18853,1.10454,0.71453,0.59497,0.65195,0.44058,1.15746,1.00466,1.09045,0.000179645,0.000179645,0.000179645
7,429.391,1.053,1.11615,1.09113,0.7235,0.64767,0.69619,0.47146,1.14476,0.94485,1.09046,0.000177773,0.000177773,0.000177773
8,488.194,1.05111,1.07586,1.08983,0.77493,0.62854,0.70709,0.47983,1.14783,0.93388,1.09023,0.000175902,0.000175902,0.000175902
9,546.888,1.03,1.01821,1.08297,0.72591,0.65303,0.71856,0.48855,1.14371,0.94703,1.08754,0.000174031,0.000174031,0.000174031
10,605.507,1.02519,0.98724,1.07707,0.73288,0.71891,0.76708,0.52408,1.12502,0.87621,1.08513,0.00017216,0.00017216,0.00017216
11,664.413,1.01799,0.95187,1.07481,0.73254,0.71956,0.75753,0.51727,1.12686,0.86068,1.0792,0.000170289,0.000170289,0.000170289
12,723.346,1.01003,0.92825,1.07206,0.77523,0.7227,0.7812,0.5329,1.1272,0.84614,1.07651,0.000168418,0.000168418,0.000168418
13,782.656,1.00633,0.9056,1.06786,0.78496,0.73342,0.79583,0.53788,1.12938,0.81995,1.07768,0.000166547,0.000166547,0.000166547
14,841.541,0.99824,0.87837,1.06557,0.78785,0.72732,0.782,0.53127,1.14079,0.82501,1.09229,0.000164676,0.000164676,0.000164676
15,900.224,0.9955,0.86489,1.06367,0.73496,0.74517,0.79655,0.53975,1.13165,0.83039,1.08417,0.000162805,0.000162805,0.000162805
16,959.008,0.99252,0.84663,1.06054,0.76643,0.74374,0.80491,0.54624,1.12549,0.80961,1.0805,0.000160934,0.000160934,0.000160934
17,1017.72,0.98398,0.83546,1.05735,0.80765,0.70818,0.79755,0.54177,1.13812,0.83764,1.09329,0.000159062,0.000159062,0.000159062
18,1076.57,0.9828,0.81477,1.05919,0.81036,0.75133,0.7914,0.54797,1.11788,0.81048,1.0781,0.000157191,0.000157191,0.000157191
19,1135.46,0.9785,0.80366,1.05505,0.81016,0.75917,0.80728,0.55441,1.11259,0.78859,1.07725,0.00015532,0.00015532,0.00015532
20,1194.24,0.98121,0.79437,1.05498,0.80565,0.73677,0.79015,0.53478,1.13465,0.82549,1.08259,0.000153449,0.000153449,0.000153449
21,1253.21,0.97409,0.79057,1.05325,0.85006,0.75996,0.8324,0.56397,1.1254,0.75138,1.08309,0.000151578,0.000151578,0.000151578
22,1312.07,0.97037,0.77198,1.05469,0.84235,0.76386,0.83415,0.56914,1.11467,0.76962,1.08279,0.000149707,0.000149707,0.000149707
23,1371.04,0.95957,0.76005,1.04949,0.81967,0.75779,0.80238,0.55163,1.11865,0.7974,1.08075,0.000147836,0.000147836,0.000147836
24,1429.8,0.95865,0.74638,1.04826,0.82108,0.7883,0.82946,0.56791,1.11546,0.74716,1.08562,0.000145965,0.000145965,0.000145965
25,1488.63,0.96024,0.74568,1.04585,0.83461,0.77278,0.81805,0.55883,1.12178,0.74765,1.08526,0.000144094,0.000144094,0.000144094
26,1547.61,0.95268,0.72812,1.04304,0.85743,0.77402,0.84154,0.5773,1.10168,0.72727,1.07046,0.000142222,0.000142222,0.000142222
27,1606.17,0.95013,0.72332,1.04205,0.83741,0.76926,0.81808,0.5588,1.12112,0.77422,1.08711,0.000140351,0.000140351,0.000140351
28,1665.23,0.94801,0.71684,1.04147,0.83972,0.7764,0.84203,0.57449,1.10156,0.74276,1.07281,0.00013848,0.00013848,0.00013848
29,1724.21,0.9461,0.71189,1.04075,0.85194,0.77486,0.84351,0.57915,1.11138,0.73902,1.07596,0.000136609,0.000136609,0.000136609
30,1783.05,0.94049,0.69801,1.03818,0.85562,0.80304,0.86178,0.58791,1.10489,0.73203,1.07045,0.000134738,0.000134738,0.000134738
31,1841.9,0.94632,0.69773,1.03829,0.82416,0.79391,0.83075,0.57396,1.09861,0.74199,1.06875,0.000132867,0.000132867,0.000132867
32,1900.82,0.93872,0.68974,1.0396,0.85501,0.77146,0.82569,0.56833,1.10687,0.74484,1.07915,0.000130996,0.000130996,0.000130996
33,1959.78,0.93373,0.68211,1.03283,0.85478,0.78589,0.84602,0.58424,1.09212,0.71794,1.06895,0.000129125,0.000129125,0.000129125
34,2018.9,0.93409,0.67374,1.03339,0.84532,0.78532,0.83434,0.57247,1.09892,0.72868,1.07114,0.000127254,0.000127254,0.000127254
35,2077.68,0.93076,0.67338,1.03429,0.86212,0.77416,0.83858,0.57622,1.09458,0.73699,1.07258,0.000125383,0.000125383,0.000125383
36,2136.38,0.92617,0.66487,1.03016,0.85767,0.79634,0.8619,0.58748,1.09799,0.70258,1.06971,0.000123512,0.000123512,0.000123512
37,2195.17,0.93221,0.66085,1.03197,0.86995,0.80434,0.86254,0.5943,1.09024,0.69123,1.0657,0.00012164,0.00012164,0.00012164
38,2254.13,0.93047,0.66117,1.03196,0.87144,0.82729,0.88559,0.60473,1.08425,0.65969,1.06614,0.000119769,0.000119769,0.000119769
39,2312.94,0.92579,0.65482,1.03045,0.85663,0.7895,0.8359,0.57566,1.10036,0.71989,1.07754,0.000117898,0.000117898,0.000117898
40,2371.91,0.92332,0.64671,1.03097,0.86738,0.82867,0.88205,0.60588,1.08358,0.66621,1.06159,0.000116027,0.000116027,0.000116027
41,2430.88,0.92084,0.64282,1.02961,0.86908,0.79185,0.85373,0.58883,1.08765,0.69146,1.06575,0.000114156,0.000114156,0.000114156
42,2489.58,0.91744,0.63951,1.02815,0.86472,0.76524,0.81491,0.56357,1.09507,0.74151,1.07366,0.000112285,0.000112285,0.000112285
43,2548.19,0.91204,0.63516,1.02199,0.88062,0.78433,0.83684,0.58056,1.08851,0.71122,1.07001,0.000110414,0.000110414,0.000110414
44,2606.82,0.91021,0.63497,1.0253,0.8804,0.79068,0.8492,0.58822,1.08909,0.69364,1.06662,0.000108543,0.000108543,0.000108543
45,2665.56,0.90778,0.6319,1.02418,0.85641,0.78534,0.8385,0.57536,1.09534,0.70473,1.07723,0.000106672,0.000106672,0.000106672
46,2724.56,0.9092,0.62159,1.02544,0.86284,0.79354,0.84402,0.58368,1.09027,0.7024,1.06995,0.000104801,0.000104801,0.000104801
47,2783.17,0.9099,0.62532,1.0232,0.87363,0.79916,0.85017,0.58566,1.0944,0.68516,1.07373,0.000102929,0.000102929,0.000102929
48,2842.09,0.90208,0.61759,1.02258,0.88119,0.79049,0.85091,0.58457,1.09119,0.69619,1.07342,0.000101058,0.000101058,0.000101058
49,2900.67,0.90162,0.61201,1.02163,0.86659,0.77347,0.82996,0.57436,1.09212,0.71173,1.07353,9.91872e-05,9.91872e-05,9.91872e-05
50,2959.51,0.9059,0.61134,1.01949,0.86663,0.78884,0.84156,0.58165,1.08642,0.69456,1.07118,9.73161e-05,9.73161e-05,9.73161e-05
51,3018.25,0.89597,0.61021,1.02235,0.86987,0.80766,0.86611,0.59625,1.0885,0.68344,1.06997,9.5445e-05,9.5445e-05,9.5445e-05
52,3076.91,0.90374,0.60975,1.02101,0.87783,0.80019,0.85809,0.58993,1.08431,0.68443,1.0674,9.35739e-05,9.35739e-05,9.35739e-05
53,3135.8,0.9004,0.60364,1.0187,0.863,0.79147,0.83558,0.57698,1.09521,0.70198,1.07652,9.17028e-05,9.17028e-05,9.17028e-05
54,3194.46,0.89166,0.5964,1.01782,0.87751,0.80232,0.84211,0.5822,1.08389,0.6871,1.07055,8.98317e-05,8.98317e-05,8.98317e-05
55,3253.06,0.88807,0.59115,1.01498,0.87491,0.79584,0.8474,0.58511,1.08797,0.6921,1.07474,8.79606e-05,8.79606e-05,8.79606e-05
56,3311.8,0.88616,0.59516,1.01428,0.84871,0.80572,0.83388,0.57678,1.08766,0.70847,1.07824,8.60895e-05,8.60895e-05,8.60895e-05
57,3370.62,0.8927,0.59794,1.01593,0.86971,0.79838,0.83467,0.58039,1.08928,0.70779,1.07528,8.42184e-05,8.42184e-05,8.42184e-05
58,3429.33,0.88329,0.58848,1.01185,0.86825,0.7902,0.83759,0.57985,1.08879,0.70883,1.0751,8.23473e-05,8.23473e-05,8.23473e-05
59,3488.08,0.88475,0.58821,1.01244,0.87335,0.79252,0.84417,0.58194,1.09092,0.69988,1.07232,8.04762e-05,8.04762e-05,8.04762e-05
60,3546.77,0.88341,0.58364,1.01195,0.86475,0.79214,0.83374,0.57541,1.09247,0.71764,1.07469,7.86051e-05,7.86051e-05,7.86051e-05
61,3605.54,0.87836,0.57939,1.00817,0.88228,0.79369,0.8499,0.58609,1.08791,0.68839,1.07198,7.6734e-05,7.6734e-05,7.6734e-05
62,3664.25,0.87978,0.57837,1.01124,0.87715,0.78891,0.84529,0.58536,1.08772,0.69529,1.07431,7.48629e-05,7.48629e-05,7.48629e-05
63,3723.02,0.88343,0.58006,1.01403,0.87575,0.7941,0.84969,0.58733,1.08819,0.68695,1.06979,7.29918e-05,7.29918e-05,7.29918e-05
64,3781.48,0.8774,0.57259,1.0099,0.87294,0.79179,0.83769,0.58021,1.09105,0.70472,1.07613,7.11207e-05,7.11207e-05,7.11207e-05
65,3840.23,0.87658,0.57154,1.00979,0.87846,0.79679,0.84484,0.58351,1.09056,0.70301,1.07395,6.92496e-05,6.92496e-05,6.92496e-05
